rel_time,ID,date,time,dimension,state,substate,controllerleftclick,controllerrightclick,coloredcube,stimulus,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,raylocationX,raylocationY,raylocationZ,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,rayscreenlocationX,rayscreenlocationX.1,combined.convergence_distance_mm,combined.convergence_distance_validity,combined.eye_data.eye_openness,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,combined.pupil_diameter_mm,combined.pupil_position_in_sensor_area.X,combined.pupil_position_in_sensor_area.Y,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
0.565,189,2021.11.29,11.19.2.353,2,0,0,0,0,,0,521.282288,454.231903,4.233233,-4.730332,117.640396,8.087979,17.060091,6.67287,81.090897,84.639282,5.637319,115.876205,84.639282,5.637319,115.876205,A_StateManager_2.ScreenWidget,2216.591797,2216.591797,0.0,0,0.0,-0.00885,-0.311951,0.950043,2.417999,4.307083,-32.116501,0.0,0.0,0.0,1.0,-0.045975,-0.305542,0.95105,31.716797,3.172577,-31.567825,2.98053,0.520155,0.551046,1.0,0.032379,-0.318558,0.947342,-30.116608,5.566895,-32.725769,3.137924,0.500921,0.466734,0.100633,0.100633
0.597,189,2021.11.29,11.19.2.385,2,0,0,0,0,,0,570.022339,436.671783,4.234992,-4.726613,117.630074,8.09316,17.015619,6.713621,81.013481,84.639282,5.078759,116.150307,84.639282,5.078758,116.150307,A_StateManager_2.ScreenWidget,2199.025391,2199.025391,0.0,0,0.0,-0.00563,-0.313446,0.94957,1.138428,4.360336,-32.13945,0.0,0.0,0.0,1.0,-0.044037,-0.309158,0.949982,31.717041,3.174515,-31.565384,3.003708,0.519841,0.55152,1.0,0.033615,-0.317352,0.947693,-30.123077,5.572647,-32.726349,3.154587,0.50097,0.466335,0.095768,0.095768
0.63,189,2021.11.29,11.19.2.418,2,0,0,0,0,,0,562.042969,440.587494,4.235646,-4.721367,117.626205,8.070793,16.976318,6.717643,80.984398,84.63929,4.816087,115.963661,84.639282,4.816087,115.963661,A_StateManager_2.ScreenWidget,2190.887207,2190.887207,0.0,0,0.0,-0.009415,-0.315231,0.948959,1.365662,4.357941,-32.141815,0.0,0.0,0.0,1.0,-0.045425,-0.306244,0.950867,31.726166,3.171524,-31.566803,2.995377,0.519735,0.551172,1.0,0.027954,-0.324112,0.945602,-30.126068,5.588577,-32.738235,3.139633,0.501933,0.467027,0.114311,0.114311
0.664,189,2021.11.29,11.19.2.452,2,0,0,0,0,,0,558.290466,437.921143,4.242068,-4.718518,117.631126,8.079744,16.978443,6.759812,81.027,84.639282,5.201051,115.824219,84.639282,5.201051,115.824219,A_StateManager_2.ScreenWidget,2200.937744,2200.937744,0.0,0,0.0,-0.006485,-0.312225,0.949982,1.230576,4.367249,-32.144531,0.0,0.0,0.0,1.0,-0.04657,-0.305511,0.951035,31.734207,3.173492,-31.565506,2.984604,0.519632,0.550983,1.0,0.034714,-0.318588,0.94725,-30.13092,5.594574,-32.739853,3.153687,0.501073,0.465904,0.126549,0.126549
0.697,189,2021.11.29,11.19.2.485,2,0,0,0,0,,0,563.789978,435.929108,4.243323,-4.724526,117.632118,8.095445,16.97625,6.795915,80.995872,84.639282,4.992142,116.080482,84.639282,4.992142,116.080482,A_StateManager_2.ScreenWidget,2192.802002,2192.802002,0.0,0,0.0,-0.006302,-0.311203,0.950317,1.040466,4.370636,-32.150391,0.0,0.0,0.0,1.0,-0.046997,-0.304657,0.951294,31.743103,3.170135,-31.56662,2.988892,0.51938,0.550965,1.0,0.035019,-0.317307,0.947662,-30.13092,5.589447,-32.743088,3.209839,0.501073,0.465904,0.150598,0.150598
0.73,189,2021.11.29,11.19.2.518,2,0,0,0,0,,0,560.805542,439.590027,4.247713,-4.730844,117.63134,8.072237,16.951914,6.815504,80.991714,84.63929,4.995709,116.132721,84.639282,4.995708,116.132721,A_StateManager_2.ScreenWidget,2191.654541,2191.654541,0.0,0,0.0,-0.009201,-0.310547,0.9505,1.576767,4.346649,-32.147156,0.0,0.0,0.0,1.0,-0.048569,-0.304245,0.95134,31.758179,3.167435,-31.567062,2.988998,0.519085,0.551001,1.0,0.032166,-0.316635,0.947983,-30.135651,5.585678,-32.756683,3.199203,0.501667,0.466047,0.161665,0.161665
0.764,189,2021.11.29,11.19.2.552,2,0,0,0,0,,0,560.856506,440.336273,4.254143,-4.740453,117.628929,8.104195,16.928041,6.836128,81.018791,84.639282,5.263943,116.150627,84.639282,5.263943,116.150627,A_StateManager_2.ScreenWidget,2197.761963,2197.761963,0.0,0,0.0,-0.007019,-0.309113,0.950989,1.62854,4.343338,-32.147141,0.0,0.0,0.0,1.0,-0.048462,-0.302963,0.951767,31.766876,3.160629,-31.567307,3.012863,0.518742,0.551035,1.0,0.036652,-0.315002,0.94838,-30.132492,5.589722,-32.758194,3.196274,0.500869,0.465636,0.154145,0.154145
0.797,189,2021.11.29,11.19.2.585,2,0,0,0,0,,0,564.688416,440.592072,4.252328,-4.760289,117.628059,8.107482,16.897102,6.833235,80.995964,84.63929,5.05416,116.228279,84.639282,5.05416,116.228279,A_StateManager_2.ScreenWidget,2191.575439,2191.575439,0.0,0,0.0,-0.007614,-0.309296,0.950928,1.008514,4.370331,-32.160217,0.0,0.0,0.0,1.0,-0.049225,-0.304169,0.95134,31.776276,3.15947,-31.567307,3.028748,0.518511,0.551268,1.0,0.034485,-0.313934,0.948807,-30.132095,5.595856,-32.7603,3.204895,0.501191,0.465282,0.150148,0.150148
0.83,189,2021.11.29,11.19.2.618,2,0,0,0,0,,0,561.691528,441.701385,4.251915,-4.77289,117.625877,8.078237,16.912361,6.807637,80.998177,84.63929,5.057176,116.231636,84.639282,5.057175,116.231636,A_StateManager_2.ScreenWidget,2192.133301,2192.133301,0.0,0,0.0,-0.00647,-0.309326,0.950928,0.93779,4.374298,-32.16214,0.0,0.0,0.0,1.0,-0.049881,-0.304428,0.951218,31.776703,3.160477,-31.56694,3.028915,0.518592,0.551268,1.0,0.037247,-0.313675,0.948792,-30.128006,5.597046,-32.761719,3.215607,0.500638,0.465207,0.149582,0.149582
0.863,189,2021.11.29,11.19.2.651,2,0,0,0,0,,0,561.734619,441.749359,4.250038,-4.781628,117.623123,8.059505,16.920856,6.771899,80.98214,84.63929,4.90108,116.237183,84.639282,4.90108,116.237183,A_StateManager_2.ScreenWidget,2188.992188,2188.992188,0.0,0,0.0,-0.000824,-0.2892,0.95726,1.769638,4.480103,-32.10614,0.0,0.0,0.0,1.0,-0.047028,-0.292648,0.955048,31.770691,3.290939,-31.524506,3.042358,0.518391,0.544491,1.0,0.048111,-0.284866,0.957352,-30.02887,5.740509,-32.722626,3.158432,0.495446,0.455133,0.145435,0.145435
