ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades,Mean fixation duration during head movement,Mean distance to figure,Mean angle around figure
102,3,second,4,7,3.6213140196585756,4,2.0693222969477576,0.11099999999999,86.84167349352525,10.293347120788395
102,3,second,5,6,3.4110289937464744,4,2.2740193291643163,,85.83617623519355,10.684951404620108
102,3,second,6,11,2.7672955974842814,9,2.2641509433962304,,86.12529553085051,10.709304071542514
102,3,second,7,12,1.9788918205804749,12,1.9788918205804749,0.1219999999999981,86.02340934043922,10.615509863344778
102,3,second,8,14,3.0244113199395177,11,2.3763231799524784,,85.86052049245372,10.642006309403106
102,3,second,9,12,2.9361389772449207,7,1.7127477367262036,,86.71436091262073,10.227210687218717
102,3,second,10,8,3.3984706881903155,7,2.973661852166526,,85.95825480259624,10.686197114126704
102,3,second,11,7,3.4263338228096067,5,2.447381302006862,,86.65811512254957,10.37352735795511
102,3,second,12,4,1.9464720194647138,6,2.9197080291970705,,86.74337912515443,10.347070493020746
102,3,second,13,5,3.3852403520649874,4,2.7081922816519897,,86.76248839859873,10.32486366899935
102,3,second,14,8,2.7201632097925854,9,3.0601836110166585,0.41900000000001114,86.90711717705948,11.111804159784041
102,3,second,15,6,2.7088036117381447,5,2.2573363431151208,,85.87179095035667,10.75661518696756
102,3,second,16,9,3.141361256544508,8,2.7923211169284516,0.12899999999999776,86.4271583285425,10.49076732136099
102,3,second,17,10,3.0211480362537744,8,2.4169184290030197,,85.40600014105463,10.858383995355345
102,3,second,18,4,3.1746031746031975,3,2.3809523809523983,,85.92212752230424,10.737276539534873
102,3,second,19,6,2.381897578404137,5,1.9849146486701141,0.1099999999999994,86.28521728772783,10.566719407659596
102,3,second,20,6,4.21940928270041,3,2.109704641350205,0.7109999999999967,86.47431069662211,10.321026652451554
102,3,second,21,15,2.505428428261229,9,1.5032570569567374,0.1000000000000085,86.8908558077872,12.402220927893126
102,3,second,22,10,3.107520198881303,7,2.175264139216912,,86.95674186793616,10.264880105906075
102,3,second,23,14,3.522012578616351,10,2.5157232704402506,0.1110000000000042,85.56849878960756,10.837703237259852
102,3,second,24,23,3.53302611367128,16,2.457757296466977,,86.27659136821566,10.555384696106227
102,3,second,25,8,3.0418250950570065,7,2.6615969581748806,,86.56748526615482,10.355914567371233
102,3,second,26,5,1.9083969465648924,5,1.9083969465648924,,86.28258110045373,10.569529651849791
102,3,second,27,6,2.9354207436399262,6,2.9354207436399262,,85.77362412413842,10.79050802257582
102,3,second,28,10,3.5587188612099614,6,2.135231316725977,,86.28682691391538,10.578904119532385
102,3,second,29,6,3.649635036496338,4,2.433090024330892,0.11099999999999,85.95528921681762,10.682216250794886
102,3,second,30,8,3.1859816806053414,7,2.7877339705296738,0.1549999999999443,87.16926270454114,10.279513712716584
103,2,second,1,16,2.9455081001472743,10,1.8409425625920464,,110.08378660448192,2.769151487485355
103,2,second,2,27,2.45053548738428,17,1.5429297513160283,,110.11501245122567,2.7741853133421173
103,2,second,3,9,2.3709167544783933,7,1.844046364594306,,110.07569685955275,2.7536974633917204
103,2,second,4,25,3.121098626716608,13,1.622971285892636,0.13566666666666075,109.34096569373119,2.3720064672660928
103,2,second,5,30,2.761413843888077,15,1.3807069219440384,,109.24701631610161,2.3689544852050273
103,2,second,6,39,2.527216174183512,20,1.296008294453083,0.2889999999999872,109.58319477709531,2.522452768820775
103,2,second,7,21,2.653525398028814,8,1.0108668182966911,0.15933333333333619,109.14250878739387,3.233564143844272
103,2,second,8,26,2.5984409354387368,15,1.4991005396761943,0.7439999999999998,109.93081898914095,2.674467833149054
103,2,second,9,20,2.8388928317956044,12,1.7033356990773627,0.7109999999999559,109.8339204731315,2.6617536583443897
103,2,second,10,14,2.672265699560997,11,2.099637335369355,,109.2718267523248,2.3261062770582384
103,2,second,11,18,2.5802752293577984,16,2.2935779816513766,,110.36591321880772,2.914841651271734
103,2,second,12,31,2.171324507949843,19,1.3308117951950649,0.1674999999999897,109.26023921763706,2.3101871375143292
103,2,second,13,11,3.33839150227616,7,2.12443095599392,0.2019999999999981,109.25113650274072,2.313266804131537
103,2,second,14,8,3.8461538461538756,4,1.9230769230769378,,109.75852534894393,2.5919921067327794
103,2,second,15,16,3.0923850019327452,7,1.3529184383455761,0.1110000000000042,110.23595096185441,2.835792651788246
103,2,second,16,14,2.8005601120224073,9,1.8003600720144046,,110.07635945472184,2.7640102414216274
103,2,second,17,22,2.7697343572957376,13,1.6366612111292995,0.17299999999998755,109.89056909165461,2.6989956364062566
103,2,second,18,26,2.343609158103481,11,0.9915269515053187,0.16445454545454777,108.7155090777458,3.1947416162999778
103,2,second,19,30,2.481800132362669,14,1.158173395102579,0.2022500000000029,109.33297280286573,2.5091288791609063
103,2,second,20,33,2.447526514870577,16,1.1866795223614919,0.18800000000002604,109.7297706028855,2.599521533636762
103,2,second,21,24,2.7832540879044445,16,1.85550272526963,0.1100000000000136,110.01087419726082,2.7356891803130923
103,2,second,22,27,2.3860021208907707,12,1.0604453870625647,0.179000000000002,109.87800985437173,2.6585981325372163
