ID,dimension,condition,stimulus,Correct,RT,Response,Mean fixation duration,Mean regressive fixation duration,Equal fixation duration between figures,Equal fixation duration within figure,Mean saccade duration,Mean saccade amplitude,Mean saccade velocity,Mean pupil diameter,Pupil diameter amplitude,Mean head rotation,Mean head movement,Equal?,AngularDisp,DiffType
159,3,first,1,1,2.698999999999998,1,0.23316666666666683,0.5329999999999941,1.0,0.0,0.061333333333334815,26.237033726932754,291.04588663019507,0.16922794512195108,0.4194564999999998,0.8603897836788396,0.31626257318936085,1,160,e
160,2,first,1,1,9.294999999999987,1,0.21757894736841846,0.13366666666667246,0.21052631578947367,0.0,0.04999999999999051,17.49767215113091,213.41786967634525,0.6251721532846714,0.38446049999999987,0.6898876582564911,0.30693844160065953,1,160,e
160,3,second,1,1,6.429999999999978,1,0.1881428571428561,0.1909999999999989,0.8571428571428571,0.7142857142857143,0.06124999999999991,25.569868390122355,256.5866599239788,0.01114562698412765,0.7207795000000007,1.5487485762591922,0.5913329403581439,1,160,e
161,2,second,1,0,1.9669999999999987,0,0.1553333333333402,0.0,0.0,,0.04449999999999988,14.636536317401783,182.8757470810393,0.02240799166666666,0.2684244999999999,3.5397014467091967,0.5482024389445852,1,160,e
161,3,first,1,1,2.3319999999999936,1,0.16639999999999872,0.0,0.8,0.8,0.05214285714285637,19.78325362447603,223.3245853447974,-0.04817444718309887,0.3446650000000004,2.674544768102256,0.5030593295507497,1,160,e
166,2,first,1,1,3.1739999999999924,1,0.2522857142857153,0.1665000000000063,0.8571428571428571,0.0,0.037714285714285326,19.346520162262884,252.60742487102888,-0.4019470208333335,0.8012315000000001,0.7463108892007568,0.2644482833014607,1,160,e
166,3,second,1,1,4.154000000000011,1,0.30530000000000046,0.15825000000000067,0.6,0.19999999999999996,0.04271428571428559,15.398843380364571,233.50557085349615,-0.6674320585937499,0.8848574999999999,0.6994488605276502,0.24869298908696386,1,160,e
167,2,second,1,1,4.665999999999997,1,0.23624999999999888,0.1999999999999993,0.6666666666666666,0.5714285714285714,0.047500000000000805,18.409485276290418,209.6366629854487,0.2213825238095237,0.5262370000000001,3.7977730789233357,0.8807593597596385,1,160,e
167,3,first,1,1,2.632999999999996,1,0.2408571428571408,0.2669999999999959,0.5714285714285714,0.6666666666666667,0.058200000000000765,21.519959622613094,213.0020847266472,-0.43049502173913046,0.6219704999999998,1.1669271480051229,0.3898724984456928,1,160,e
168,2,first,1,1,3.721000000000004,1,0.253999999999996,0.0,0.75,0.6666666666666666,0.09416666666666625,36.18315442005319,265.7206477889103,-0.21359854782608717,0.65686,1.4414270936390692,0.38821117847803466,1,160,e
