stimulus,side,figure,cube,x,y,z
10,left,M1,2,90.756,-14.713,118.94
10,left,M1,3,93.187,-11.098,117.432
10,left,M1,4,91.236,-11.485,113.356
10,left,M1,5,89.28,-11.873,109.271
10,left,M1,1,88.298,-18.367,120.464
10,left,M1,7,90.716,-14.96,104.187
10,left,M1,8,94.029,-17.741,102.865
10,left,M1,9,97.286,-20.473,101.565
10,left,M1,10,99.688,-16.901,100.075
10,right,M4,6,101.482,27.246,105.675
10,right,M4,2,97.7,25.381,119.387
10,right,M4,3,99.558,21.584,117.924
10,right,M4,4,100.22,23.532,113.71
10,right,M4,5,100.825,25.312,109.858
10,right,M4,1,95.833,29.196,120.857
10,right,M4,7,97.407,25.762,104.349
10,right,M4,8,93.413,24.309,103.05
10,right,M4,9,89.313,22.816,101.716
10,right,M4,10,89.945,24.674,97.696
11,left,M4,6,101.482,-16.754,105.675
11,left,M4,2,97.7,-18.619,119.387
11,left,M4,3,99.558,-22.416,117.924
11,left,M4,4,100.22,-20.468,113.71
11,left,M4,5,100.825,-18.688,109.858
11,left,M4,1,95.833,-14.804,120.857
11,left,M4,7,97.407,-18.238,104.349
11,left,M4,8,93.413,-19.691,103.05
11,left,M4,9,89.313,-21.184,101.716
11,left,M4,10,89.945,-19.326,97.696
11,right,M4,6,88.241,34.399,105.675
11,right,M4,2,91.747,32.056,119.387
11,right,M4,3,94.107,35.563,117.924
11,right,M4,4,92.089,35.163,113.71
11,right,M4,5,90.244,34.797,109.858
11,right,M4,1,89.377,28.532,120.857
11,right,M4,7,91.564,31.611,104.349
11,right,M4,8,94.819,28.88,103.05
11,right,M4,9,98.162,26.075,101.716
11,right,M4,10,96.237,25.693,97.696
12,left,M3,6,92.91,-23.836,104.969
12,left,M3,2,90.206,-22.986,119.008
12,left,M3,3,93.938,-25.318,118.468
12,left,M3,4,93.595,-24.824,113.97
12,left,M3,5,93.257,-24.336,109.527
12,left,M3,1,86.326,-20.562,119.57
12,left,M3,7,95.298,-20.067,105.201
12,left,M3,8,97.698,-16.281,105.434
12,left,M3,9,100.139,-12.429,105.671
12,left,M3,10,99.795,-11.931,101.143
12,right,M3,6,90.353,33.385,104.969
12,right,M3,2,93.184,33.511,119.008
12,right,M3,3,88.88,34.427,118.468
12,right,M3,4,89.37,34.079,113.97
12,right,M3,5,89.855,33.737,109.527
12,right,M3,1,97.66,32.56,119.57
12,right,M3,7,89.397,29.026,105.201
12,right,M3,8,88.437,24.648,105.434
12,right,M3,9,87.461,20.193,105.671
12,right,M3,10,87.955,19.844,101.143
13,left,M4,6,94.59,-10.111,103.403
13,left,M4,2,91.622,-9.36,117.417
13,left,M4,3,95.81,-7.916,116.8
13,left,M4,4,95.39,-8.671,112.19
13,left,M4,5,95.007,-9.361,107.978
13,left,M4,1,87.413,-10.81,118.038
13,left,M4,7,96.129,-14.341,103.955
13,left,M4,8,97.638,-18.486,104.497
13,left,M4,9,99.187,-22.741,105.053
13,left,M4,10,98.787,-23.461,100.657
13,right,M3,6,86.37,27.616,104.49
13,right,M3,2,86.69,30.947,118.416
13,right,M3,3,83.861,27.575,117.876
13,right,M3,4,84.697,27.589,113.416
13,right,M3,5,85.523,27.602,109.01
13,right,M3,1,89.631,34.452,118.978
13,right,M3,7,89.71,24.714,105.107
13,right,M3,8,93.067,21.798,105.727
13,right,M3,9,96.481,18.832,106.358
13,right,M3,10,97.322,18.846,101.867
14,left,M5,5,88.105,-15.507,109.27
14,left,M5,1,91.425,-12.776,121.345
14,left,M5,2,92.483,-11.121,117.189
14,left,M5,3,93.536,-9.475,113.055
14,left,M5,4,90.856,-12.451,111.188
14,left,M5,10,94.23,-21.094,98.732
14,left,M5,6,85.375,-18.539,107.368
14,left,M5,7,88.658,-21.324,107.095
14,left,M5,8,92.175,-24.308,106.803
14,left,M5,9,93.194,-22.715,102.802
14,right,M5,5,90.162,31.16,109.27
14,right,M5,1,94.461,31.118,121.345
14,right,M5,2,96.335,31.705,117.189
14,right,M5,3,98.2,32.29,113.055
14,right,M5,4,94.234,31.732,111.188
14,right,M5,10,91.264,22.942,98.732
14,right,M5,6,86.122,30.592,107.368
14,right,M5,7,86.847,26.348,107.095
14,right,M5,8,87.623,21.802,106.803
14,right,M5,9,89.428,22.367,102.802
15,left,M6,6,86.855,-11.513,109.132
15,left,M6,2,90.148,-23.345,116.375
15,left,M6,3,89.888,-24.373,111.924
15,left,M6,4,88.874,-20.071,110.99
15,left,M6,5,87.88,-15.86,110.076
15,left,M6,1,90.398,-22.357,120.651
15,left,M6,7,91.247,-10.58,108.66
15,left,M6,8,95.535,-9.668,108.199
15,left,M6,9,95.283,-10.668,103.871
15,left,M6,10,95.025,-11.686,99.46
15,right,M6,6,96.504,19.812,109.132
15,right,M6,2,97.456,32.056,116.375
15,right,M6,3,98.052,32.933,111.924
15,right,M6,4,97.534,28.544,110.99
15,right,M6,5,97.027,24.247,110.076
15,right,M6,1,96.884,31.214,120.651
15,right,M6,7,92.057,20.437,108.66
