ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades
167,3,first,22,11,2.1769245992479727,3,0.5937067088858108
167,3,first,23,8,2.38450074515648,5,1.4903129657228
167,3,first,24,9,2.7100271002710046,7,2.1077988557663367
167,3,first,25,8,2.734107997265903,7,2.3923444976076653
167,3,first,26,8,2.5101976780671387,9,2.8239723878255307
167,3,first,27,6,3.947368421052605,3,1.9736842105263026
167,3,first,28,8,3.1608060055314393,6,2.3706045041485795
167,3,first,29,12,2.422774076317382,10,2.0189783969311517
167,3,first,30,9,1.9646365422396783,10,2.18292949137742
168,2,first,1,8,2.149959688255843,6,1.612469766191882
168,2,first,2,8,2.4002400240024016,9,2.7002700270027016
168,2,first,3,5,1.5470297029702968,5,1.5470297029702968
168,2,first,4,7,2.197112366603887,6,1.8832391713747605
168,2,first,5,8,1.7160017160017138,7,1.5015015015014994
168,2,first,6,4,1.8467220683287193,5,2.308402585410899
168,2,first,7,7,2.0068807339449544,8,2.2935779816513766
168,2,first,8,12,1.993686658913439,9,1.4952649941850793
168,2,first,9,8,1.8613308515588638,10,2.32666356444858
168,2,first,10,5,1.5475085112968012,6,1.8570102135561615
168,2,first,11,4,2.069322296947742,5,2.5866528711846777
168,2,first,12,10,1.8436578171091327,10,1.8436578171091327
168,2,first,13,7,2.3356690023356803,6,2.0020020020020115
168,2,first,14,4,1.4880952380952288,8,2.9761904761904576
168,2,first,15,7,1.7085672443251183,7,1.7085672443251183
168,2,first,16,6,2.6086956521738998,5,2.1739130434782497
168,2,first,17,9,2.4590163934426252,8,2.185792349726778
168,2,first,18,8,1.560366686171256,11,2.145504193485477
168,2,first,19,3,0.8417508417508435,4,1.1223344556677912
168,2,first,20,7,2.197802197802196,7,2.197802197802196
168,2,first,21,6,1.6474464579901171,10,2.745744096650195
168,2,first,22,7,2.1014710297207935,9,2.7018913239267346
168,2,first,23,6,1.7830609212481379,8,2.377414561664184
168,2,first,24,7,1.8013381369016872,12,3.0880082346886066
168,2,first,25,7,1.9449847179772062,8,2.2228396776882358
168,2,first,26,13,2.339812814974797,12,2.1598272138228896
168,2,first,27,4,1.4641288433382136,7,2.562225475841874
